occupation,soc_code,emp_2024,emp_2034,emp_change_num,emp_change_pct,median_wage_2024,education_required,annual_openings
      Mechanical engineers,17-2141,293.1,319.6,26.5,9.1,102320.0,Bachelor's degree,18.1
"      Mining and geological engineers, including mining safety engineers",17-2151,7.0,7.0,0.0,0.7,101020.0,Bachelor's degree,0.4
      Nuclear engineers,17-2161,15.4,15.3,-0.2,-1.1,127520.0,Bachelor's degree,0.8
      Petroleum engineers,17-2171,19.6,19.8,0.2,1.3,141280.0,Bachelor's degree,1.2
"      Engineers, all other",17-2199,158.8,162.1,3.3,2.1,117750.0,Bachelor's degree,9.3
        Architectural and civil drafters,17-3011,110.5,115.1,4.6,4.1,64280.0,Associate's degree,10.0
        Electrical and electronics drafters,17-3012,21.6,20.4,-1.2,-5.6,73720.0,Associate's degree,1.7
        Mechanical drafters,17-3013,42.9,40.1,-2.8,-6.5,68510.0,Associate's degree,3.3
"        Drafters, all other",17-3019,17.1,15.9,-1.2,-6.9,62010.0,Associate's degree,1.3
        Aerospace engineering and operations technologists and technicians,17-3021,9.3,10.1,0.8,8.1,79830.0,Associate's degree,0.9
        Civil engineering technologists and technicians,17-3022,64.9,66.2,1.4,2.1,64200.0,Associate's degree,5.5
        Electrical and electronic engineering technologists and technicians,17-3023,93.7,94.3,0.6,0.6,77180.0,Associate's degree,8.4
        Electro-mechanical and mechatronics technologists and technicians,17-3024,15.0,15.1,0.2,1.1,70760.0,Associate's degree,1.3
        Environmental engineering technologists and technicians,17-3025,12.9,13.0,0.1,1.2,58890.0,Associate's degree,1.1
        Industrial engineering technologists and technicians,17-3026,74.6,75.9,1.3,1.7,64790.0,Associate's degree,6.3
        Mechanical engineering technologists and technicians,17-3027,38.3,38.3,0.0,0.0,68730.0,Associate's degree,3.2
        Calibration technologists and technicians,17-3028,15.8,16.5,0.7,4.7,65040.0,Associate's degree,1.4
"        Engineering technologists and technicians, except drafters, all other",17-3029,67.3,68.3,1.0,1.5,77390.0,Associate's degree,5.7
      Surveying and mapping technicians,17-3031,59.4,62.1,2.7,4.5,51940.0,High school diploma or equivalent,7.6
        Animal scientists,19-1011,2.8,2.9,0.2,5.8,79120.0,Bachelor's degree,0.2
        Food scientists and technologists,19-1012,15.2,16.2,1.0,6.5,85310.0,Bachelor's degree,1.2
        Soil and plant scientists,19-1013,20.7,21.8,1.1,5.4,71410.0,Bachelor's degree,1.7
        Biochemists and biophysicists,19-1021,35.6,37.6,2.1,5.8,103650.0,Doctoral or professional degree,2.9
        Microbiologists,19-1022,20.7,21.6,0.8,4.1,87330.0,Bachelor's degree,1.7
        Zoologists and wildlife biologists,19-1023,18.2,18.5,0.3,1.6,72860.0,Bachelor's degree,1.4
"        Biological scientists, all other",19-1029,63.7,64.5,0.8,1.2,93330.0,Bachelor's degree,4.8
        Conservation scientists,19-1031,28.5,29.5,1.0,3.4,67950.0,Bachelor's degree,2.5
        Foresters,19-1032,13.8,14.0,0.2,1.2,70660.0,Bachelor's degree,1.1
        Epidemiologists,19-1041,12.3,14.3,2.0,16.2,83980.0,Master's degree,0.8
"        Medical scientists, except epidemiologists",19-1042,165.3,179.6,14.3,8.7,100590.0,Doctoral or professional degree,9.6
"      Life scientists, all other",19-1099,7.8,8.1,0.3,3.7,87800.0,Bachelor's degree,0.4
        Astronomers,19-2011,1.8,1.8,0.0,2.2,132170.0,Doctoral or professional degree,0.1
        Physicists,19-2012,24.6,25.6,1.0,4.0,166290.0,Doctoral or professional degree,1.7
      Atmospheric and space scientists,19-2021,9.4,9.5,0.1,0.7,97450.0,Bachelor's degree,0.7
        Chemists,19-2031,86.8,91.0,4.3,4.9,84150.0,Bachelor's degree,6.3
        Materials scientists,19-2032,8.7,9.1,0.4,4.9,104160.0,Bachelor's degree,0.6
"        Environmental scientists and specialists, including health",19-2041,90.3,94.3,4.0,4.4,80060.0,Bachelor's degree,8.5
"        Geoscientists, except hydrologists and geographers",19-2042,25.1,26.0,0.8,3.2,99240.0,Bachelor's degree,2.0
        Hydrologists,19-2043,6.3,6.3,0.0,-0.1,92060.0,Bachelor's degree,0.5
"      Physical scientists, all other",19-2099,31.9,32.1,0.2,0.6,117960.0,Bachelor's degree,2.0
      Economists,19-3011,17.6,17.8,0.2,1.2,115440.0,Master's degree,0.9
      Survey researchers,19-3022,8.8,8.3,-0.5,-5.2,63380.0,Master's degree,0.7
        Industrial-organizational psychologists,19-3032,5.6,5.9,0.3,6.3,109840.0,Master's degree,0.4
        Clinical and counseling psychologists,19-3033,76.3,84.8,8.5,11.2,95830.0,Doctoral or professional degree,4.8
        School psychologists,19-3034,67.2,67.7,0.5,0.7,86930.0,Master's degree,3.8
"        Psychologists, all other",19-3039,55.3,57.7,2.4,4.3,117580.0,Master's degree,3.9
      Sociologists,19-3041,3.4,3.6,0.1,3.6,101690.0,Master's degree,0.3
      Urban and regional planners,19-3051,44.7,46.2,1.5,3.4,83720.0,Master's degree,3.4
        Anthropologists and archeologists,19-3091,8.8,9.2,0.3,3.7,64910.0,Master's degree,0.8
        Geographers,19-3092,1.5,1.5,0.0,-3.1,97200.0,Bachelor's degree,0.1
        Historians,19-3093,3.4,3.5,0.1,2.2,74050.0,Master's degree,0.3
        Political scientists,19-3094,6.5,6.3,-0.2,-3.1,139380.0,Master's degree,0.5
"        Social scientists and related workers, all other",19-3099,40.8,40.1,-0.7,-1.7,100340.0,Bachelor's degree,3.2
        Agricultural technicians,19-4012,18.6,19.4,0.8,4.3,46790.0,Associate's degree,2.9
        Food science technicians,19-4013,20.4,21.3,1.0,4.8,49430.0,Associate's degree,3.2
      Biological technicians,19-4021,82.7,85.6,2.9,3.5,52000.0,Bachelor's degree,9.1
      Chemical technicians,19-4031,57.0,59.0,2.1,3.7,57790.0,Associate's degree,6.7
"        Environmental science and protection technicians, including health",19-4042,40.4,42.1,1.6,4.0,49490.0,Associate's degree,5.6
"        Geological technicians, except hydrologic technicians",19-4043,9.8,10.0,0.1,1.5,48390.0,Associate's degree,1.3
        Hydrologic technicians,19-4044,3.1,3.0,-0.1,-2.1,58570.0,Associate's degree,0.4
      Nuclear technicians,19-4051,6.0,5.5,-0.5,-7.7,104240.0,Associate's degree,0.7
      Social science research assistants,19-4061,40.6,42.3,1.8,4.4,58040.0,Bachelor's degree,5.2
      Forest and conservation technicians,19-4071,33.8,32.7,-1.1,-3.2,54310.0,Associate's degree,3.9
        Forensic science technicians,19-4092,20.7,23.3,2.6,12.8,67440.0,Bachelor's degree,2.9
"        Life, physical, and social science technicians, all other",19-4099,83.2,86.2,2.9,3.5,60130.0,Associate's degree,10.6
      Occupational health and safety specialists,19-5011,131.9,148.4,16.5,12.5,83910.0,Bachelor's degree,14.9
      Occupational health and safety technicians,19-5012,31.9,34.6,2.7,8.5,58440.0,High school diploma or equivalent,3.4
"        Educational, guidance, and career counselors and advisors",21-1012,376.3,389.6,13.3,3.5,65140.0,Master's degree,31.0
        Marriage and family therapists,21-1013,77.8,87.7,9.8,12.6,63780.0,Master's degree,7.7
        Rehabilitation counselors,21-1015,91.9,93.2,1.3,1.4,46110.0,Master's degree,10.0
"        Substance abuse, behavioral disorder, and mental health counselors",21-1018,483.5,564.6,81.0,16.8,59190.0,Master's degree,48.3
"        Counselors, all other",21-1019,69.1,77.8,8.7,12.6,49830.0,Master's degree,7.4
"        Child, family, and school social workers",21-1021,399.9,413.3,13.4,3.4,58570.0,Bachelor's degree,35.1
        Healthcare social workers,21-1022,193.2,208.1,14.8,7.7,68090.0,Master's degree,18.4
        Mental health and substance abuse social workers,21-1023,136.8,150.1,13.3,9.7,60060.0,Master's degree,13.5
"        Social workers, all other",21-1029,81.0,84.1,3.1,3.9,69480.0,Bachelor's degree,7.0
        Health education specialists,21-1091,71.8,75.0,3.2,4.5,63000.0,Bachelor's degree,7.9
        Probation officers and correctional treatment specialists,21-1092,92.3,94.8,2.4,2.6,64520.0,Bachelor's degree,7.9
        Social and human service assistants,21-1093,449.6,478.5,28.9,6.4,45120.0,High school diploma or equivalent,50.6
        Community health workers,21-1094,65.1,72.5,7.4,11.3,51030.0,High school diploma or equivalent,7.8
"        Community and social service specialists, all other",21-1099,119.2,124.7,5.5,4.6,54940.0,Bachelor's degree,13.1
      Clergy,21-2011,262.0,264.6,2.6,1.0,60820.0,Bachelor's degree,23.0
"      Directors, religious activities and education",21-2021,138.9,141.8,2.9,2.1,54840.0,Bachelor's degree,13.8
"      Religious workers, all other",21-2099,88.4,89.0,0.6,0.6,45120.0,Bachelor's degree,11.1
        Lawyers,23-1011,864.8,900.7,35.9,4.1,151160.0,Doctoral or professional degree,31.5
        Judicial law clerks,23-1012,14.5,14.9,0.4,2.5,60400.0,Doctoral or professional degree,1.0
"        Administrative law judges, adjudicators, and hearing officers",23-1021,17.5,17.4,-0.1,-0.7,115230.0,Doctoral or professional degree,0.5
"        Arbitrators, mediators, and conciliators",23-1022,9.1,9.5,0.4,4.3,67710.0,Bachelor's degree,0.3
"        Judges, magistrate judges, and magistrates",23-1023,27.3,28.0,0.7,2.5,156210.0,Doctoral or professional degree,0.9
      Paralegals and legal assistants,23-2011,376.2,376.8,0.6,0.2,61010.0,Associate's degree,39.3
"        Title examiners, abstractors, and searchers",23-2093,57.4,58.5,1.1,2.0,54980.0,High school diploma or equivalent,5.4
"        Legal support workers, all other",23-2099,51.3,50.7,-0.6,-1.2,68760.0,Associate's degree,4.7
"      Business teachers, postsecondary",25-1011,103.1,109.0,5.8,5.7,97270.0,Doctoral or professional degree,8.1
"        Computer science teachers, postsecondary",25-1021,44.8,47.2,2.4,5.3,96690.0,Doctoral or professional degree,3.5
"        Mathematical science teachers, postsecondary",25-1022,58.9,60.2,1.3,2.3,79350.0,Doctoral or professional degree,4.4
"        Architecture teachers, postsecondary",25-1031,11.6,11.9,0.2,2.0,101480.0,Doctoral or professional degree,0.9
"        Engineering teachers, postsecondary",25-1032,50.3,54.4,4.1,8.1,106120.0,Doctoral or professional degree,4.1
"        Agricultural sciences teachers, postsecondary",25-1041,10.7,11.2,0.4,4.1,86350.0,Doctoral or professional degree,0.8
"        Biological science teachers, postsecondary",25-1042,66.0,70.8,4.8,7.3,83460.0,Doctoral or professional degree,5.4
"        Forestry and conservation science teachers, postsecondary",25-1043,1.6,1.7,0.1,4.0,100830.0,Doctoral or professional degree,0.1
"        Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,14.0,14.4,0.4,2.6,101390.0,Doctoral or professional degree,1.0
"        Chemistry teachers, postsecondary",25-1052,25.4,26.0,0.6,2.2,86220.0,Doctoral or professional degree,1.9
"        Environmental science teachers, postsecondary",25-1053,9.0,9.3,0.3,2.9,87710.0,Doctoral or professional degree,0.7
"        Physics teachers, postsecondary",25-1054,17.1,17.5,0.4,2.5,97360.0,Doctoral or professional degree,1.3
"        Anthropology and archeology teachers, postsecondary",25-1061,6.5,6.7,0.2,2.7,95770.0,Doctoral or professional degree,0.5
"        Area, ethnic, and cultural studies teachers, postsecondary",25-1062,14.5,14.8,0.3,2.4,84290.0,Doctoral or professional degree,1.1
"        Economics teachers, postsecondary",25-1063,15.8,16.1,0.3,2.1,119980.0,Doctoral or professional degree,1.2
"        Geography teachers, postsecondary",25-1064,4.0,4.2,0.1,3.3,86730.0,Doctoral or professional degree,0.3
"        Political science teachers, postsecondary",25-1065,21.8,22.2,0.4,2.0,94680.0,Doctoral or professional degree,1.6
"        Psychology teachers, postsecondary",25-1066,52.5,54.4,1.9,3.6,80330.0,Doctoral or professional degree,4.0
"        Sociology teachers, postsecondary",25-1067,15.4,15.7,0.3,2.1,82540.0,Doctoral or professional degree,1.1
"        Social sciences teachers, postsecondary, all other",25-1069,20.7,21.1,0.4,1.7,75040.0,Doctoral or professional degree,1.5
"        Health specialties teachers, postsecondary",25-1071,289.6,339.7,50.1,17.3,105620.0,Doctoral or professional degree,27.4
"        Nursing instructors and teachers, postsecondary",25-1072,91.6,106.9,15.3,16.8,79940.0,Doctoral or professional degree,8.6
"        Education teachers, postsecondary",25-1081,74.9,76.5,1.6,2.1,72090.0,Doctoral or professional degree,5.6
"        Library science teachers, postsecondary",25-1082,5.1,5.3,0.2,3.0,78630.0,Doctoral or professional degree,0.4
"        Criminal justice and law enforcement teachers, postsecondary",25-1111,16.2,16.5,0.3,2.0,71470.0,Doctoral or professional degree,1.2
"        Law teachers, postsecondary",25-1112,29.5,30.2,0.6,2.2,126650.0,Doctoral or professional degree,2.2
"        Social work teachers, postsecondary",25-1113,17.1,17.5,0.4,2.3,76210.0,Doctoral or professional degree,1.3
"        Art, drama, and music teachers, postsecondary",25-1121,122.8,124.8,2.1,1.7,80190.0,Master's degree,9.0
"        Communications teachers, postsecondary",25-1122,35.8,36.6,0.8,2.1,77800.0,Doctoral or professional degree,2.7
"        English language and literature teachers, postsecondary",25-1123,72.2,72.2,0.0,0.0,78270.0,Doctoral or professional degree,5.1
"        Foreign language and literature teachers, postsecondary",25-1124,26.4,26.4,0.0,-0.2,77010.0,Doctoral or professional degree,1.9
"        History teachers, postsecondary",25-1125,24.6,24.6,-0.1,-0.2,81500.0,Doctoral or professional degree,1.7
"        Philosophy and religion teachers, postsecondary",25-1126,27.3,27.5,0.2,0.7,78050.0,Doctoral or professional degree,2.0
"        Family and consumer sciences teachers, postsecondary",25-1192,3.2,3.3,0.1,3.4,77280.0,Doctoral or professional degree,0.2
"        Recreation and fitness studies teachers, postsecondary",25-1193,15.4,15.7,0.4,2.4,75890.0,Doctoral or professional degree,1.1
"        Career/technical education teachers, postsecondary",25-1194,122.2,123.0,0.8,0.7,61490.0,Bachelor's degree,8.8
"        Postsecondary teachers, all other",25-1199,183.4,186.8,3.4,1.8,78490.0,Doctoral or professional degree,13.5
"        Preschool teachers, except special education",25-2011,555.1,578.1,22.9,4.1,37120.0,Associate's degree,65.5
"        Kindergarten teachers, except special education",25-2012,117.2,115.2,-1.9,-1.6,61430.0,Bachelor's degree,12.8
"        Elementary school teachers, except special education",25-2021,1422.7,1394.8,-27.9,-2.0,62340.0,Bachelor's degree,91.0
"        Middle school teachers, except special and career/technical education",25-2022,633.7,621.3,-12.4,-2.0,62970.0,Bachelor's degree,40.5
"        Career/technical education teachers, middle school",25-2023,14.0,13.8,-0.3,-2.0,63620.0,Bachelor's degree,0.9
"        Secondary school teachers, except special and career/technical education",25-2031,1094.5,1076.7,-17.8,-1.6,64580.0,Bachelor's degree,66.2
"        Career/technical education teachers, secondary school",25-2032,103.4,101.5,-1.9,-1.8,63910.0,Bachelor's degree,6.2
"        Special education teachers, preschool",25-2051,29.3,29.7,0.4,1.4,62190.0,Bachelor's degree,2.1
"        Special education teachers, kindergarten and elementary school",25-2052,230.2,226.1,-4.1,-1.8,63000.0,Bachelor's degree,15.4
"        Special education teachers, middle school",25-2057,94.8,93.0,-1.8,-1.9,64880.0,Bachelor's degree,6.3
"        Special education teachers, secondary school",25-2058,164.2,161.5,-2.6,-1.6,69590.0,Bachelor's degree,11.1
"        Special education teachers, all other",25-2059,41.0,41.5,0.4,1.1,67430.0,Bachelor's degree,2.9
"      Adult basic education, adult secondary education, and english as a second language instructors",25-3011,40.9,35.3,-5.6,-13.7,59950.0,Bachelor's degree,3.9
      Self-enrichment teachers,25-3021,417.5,433.0,15.5,3.7,45590.0,High school diploma or equivalent,51.4
"      Substitute teachers, short-term",25-3031,510.1,518.5,8.4,1.6,38470.0,Bachelor's degree,61.1
      Tutors,25-3041,215.5,216.8,1.3,0.6,40090.0,"Some college, no degree",37.1
"      Teachers and instructors, all other",25-3099,153.8,153.5,-0.2,-0.1,64690.0,Bachelor's degree,18.0
        Archivists,25-4011,9.3,9.7,0.4,3.8,61570.0,Master's degree,1.1
        Curators,25-4012,15.1,16.2,1.1,7.0,61770.0,Master's degree,1.8
        Museum technicians and conservators,25-4013,15.7,16.5,0.8,5.4,47460.0,Bachelor's degree,1.9
      Librarians and media collections specialists,25-4022,142.1,144.5,2.4,1.7,64320.0,Master's degree,13.5
      Library technicians,25-4031,78.6,73.2,-5.4,-6.8,39970.0,Postsecondary nondegree award,13.0
      Farm and home management educators,25-9021,12.4,12.1,-0.3,-2.5,58120.0,Master's degree,1.1
      Instructional coordinators,25-9031,232.6,235.5,2.9,1.3,74720.0,Master's degree,21.9
"        Teaching assistants, postsecondary",25-9044,193.6,199.6,6.0,3.1,44930.0,Bachelor's degree,24.6
"        Teaching assistants, except postsecondary",25-9045,1422.8,1401.7,-21.1,-1.5,35240.0,"Some college, no degree",170.4
"      Educational instruction and library workers, all other",25-9099,132.0,134.0,2.0,1.5,48400.0,Bachelor's degree,12.5
        Art directors,27-1011,135.0,140.7,5.7,4.2,111040.0,Bachelor's degree,12.3
        Craft artists,27-1012,11.6,11.9,0.2,2.1,38480.0,No formal educational credential,1.0
"        Fine artists, including painters, sculptors, and illustrators",27-1013,26.5,26.2,-0.3,-1.2,60560.0,Bachelor's degree,2.2
        Special effects artists and animators,27-1014,57.1,58.0,0.9,1.6,99800.0,Bachelor's degree,5.0
"        Artists and related workers, all other",27-1019,13.9,14.0,0.1,0.8,72760.0,No formal educational credential,1.2
        Commercial and industrial designers,27-1021,30.6,31.6,1.0,3.2,79450.0,Bachelor's degree,2.5
        Fashion designers,27-1022,25.7,26.2,0.5,2.0,80690.0,Bachelor's degree,2.3
        Floral designers,27-1023,43.8,41.2,-2.6,-5.9,36120.0,High school diploma or equivalent,5.1
        Graphic designers,27-1024,265.9,271.5,5.7,2.1,61300.0,Bachelor's degree,20.0
        Interior designers,27-1025,87.1,89.9,2.8,3.2,63490.0,Bachelor's degree,7.8
        Merchandise displayers and window trimmers,27-1026,193.0,199.3,6.2,3.2,37350.0,High school diploma or equivalent,20.8
        Set and exhibit designers,27-1027,31.3,32.0,0.7,2.3,66280.0,Bachelor's degree,2.5
"        Designers, all other",27-1029,28.6,29.2,0.6,2.0,66220.0,Bachelor's degree,2.2
        Actors,27-2011,57.0,57.1,0.2,0.3,,"Some college, no degree",6.3
        Producers and directors,27-2012,167.0,175.2,8.3,4.9,83480.0,Bachelor's degree,12.8
        Athletes and sports competitors,27-2021,19.1,20.2,1.0,5.5,62360.0,No formal educational credential,2.1
        Coaches and scouts,27-2022,306.5,326.0,19.5,6.4,45920.0,Bachelor's degree,41.8
"        Umpires, referees, and other sports officials",27-2023,19.3,20.4,1.1,5.7,38820.0,High school diploma or equivalent,4.6
        Dancers,27-2031,12.3,12.9,0.6,4.5,,No formal educational credential,1.8
        Choreographers,27-2032,4.6,4.9,0.3,6.1,55600.0,High school diploma or equivalent,0.7
        Music directors and composers,27-2041,47.3,47.2,-0.1,-0.3,63670.0,Bachelor's degree,4.3
