occupation,soc_code,emp_2024,emp_2034,emp_change_num,emp_change_pct,median_wage_2024,education_required,annual_openings
"        Production workers, all other",51-9199,292.8,294.3,1.5,0.5,38820.0,High school diploma or equivalent,31.6
      Aircraft cargo handling supervisors,53-1041,10.3,10.8,0.5,5.2,63940.0,High school diploma or equivalent,1.1
"      First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",53-1047,609.6,632.2,22.5,3.7,61890.0,High school diploma or equivalent,61.3
"        Airline pilots, copilots, and flight engineers",53-2011,100.0,103.9,3.9,3.9,226600.0,Bachelor's degree,11.7
        Commercial pilots,53-2012,55.4,58.3,2.8,5.1,122670.0,Postsecondary nondegree award,6.6
        Air traffic controllers,53-2021,24.1,24.4,0.3,1.2,144580.0,Associate's degree,2.2
        Airfield operations specialists,53-2022,16.9,17.6,0.7,4.2,56750.0,High school diploma or equivalent,1.6
      Flight attendants,53-2031,130.8,142.9,12.1,9.2,67130.0,High school diploma or equivalent,19.8
"      Ambulance drivers and attendants, except emergency medical technicians",53-3011,12.3,12.1,-0.2,-1.3,34330.0,High school diploma or equivalent,1.4
        Driver/sales workers,53-3031,451.5,491.3,39.8,8.8,37130.0,High school diploma or equivalent,51.3
        Heavy and tractor-trailer truck drivers,53-3032,2235.1,2324.4,89.3,4.0,57440.0,Postsecondary nondegree award,237.6
        Light truck drivers,53-3033,1079.8,1158.6,78.9,7.3,44140.0,High school diploma or equivalent,120.2
"        Bus drivers, school",53-3051,387.3,388.2,0.9,0.2,47040.0,High school diploma or equivalent,61.0
"        Bus drivers, transit and intercity",53-3052,158.8,165.6,6.8,4.3,57440.0,High school diploma or equivalent,20.9
        Shuttle drivers and chauffeurs,53-3053,243.9,260.3,16.4,6.7,36670.0,No formal educational credential,36.3
        Taxi drivers,53-3054,204.0,226.6,22.6,11.1,36220.0,No formal educational credential,22.6
"      Motor vehicle operators, all other",53-3099,79.3,84.0,4.7,6.0,36260.0,No formal educational credential,11.1
        Locomotive engineers,53-4011,27.0,27.2,0.2,0.7,77400.0,High school diploma or equivalent,2.2
"        Rail yard engineers, dinkey operators, and hostlers",53-4013,3.1,3.1,0.0,0.3,58030.0,High school diploma or equivalent,0.2
"      Railroad brake, signal, and switch operators and locomotive firers",53-4022,11.0,11.1,0.1,1.0,65480.0,High school diploma or equivalent,1.0
      Railroad conductors and yardmasters,53-4031,36.8,37.2,0.4,1.1,74080.0,High school diploma or equivalent,3.1
      Subway and streetcar operators,53-4041,9.6,9.9,0.3,3.4,84830.0,High school diploma or equivalent,0.9
