automation_prob,soc_code,occupation_fo
0.96,43-2011,"Switchboard operators, including answering service"
0.96,35-3022,"Counter attendants, cafeteria, food concession, and Coffee Shop"
0.96,47-5051,"Rock splitters, quarry"
0.96,43-6014,"Secretaries and administrative assistants, except legal, medical, and executive"
0.96,17-3031,Surveying and mapping technicians
0.96,51-7031,"Model makers, wood"
0.96,51-6064,"Textile winding, twisting, and drawing out machine setters, operators, and tenders"
0.96,53-4011,Locomotive engineers
0.96,39-3011,Gaming dealers
0.96,49-9093,"Fabric menders, except garment"
0.96,35-2014,"Cooks, restaurant"
0.96,39-3031,"Ushers, lobby attendants, and ticket takers"
0.96,43-3021,Billing and posting clerks
0.97,53-6011,Bridge and lock tenders
0.97,51-7042,"Woodworking machine setters, operators, and tenders, except sawing"
0.97,51-2092,Team assemblers
0.97,51-6042,Shoe machine operators and tenders
0.97,51-2023,Electromechanical equipment assemblers
0.97,13-1074,Farm labour contractors
0.97,51-6061,Textile bleaching and dyeing machine operators and tenders
0.97,51-9081,Dental laboratory technicians
0.97,51-9021,"Crushing, grinding, and polishing machine setters, operators, and tenders"
0.97,51-9022,"Grinding and polishing workers, hand"
0.97,37-3012,"Pesticide handlers, sprayers, and applicators, vegetation"
0.97,45-4023,Log graders and scalers
0.97,51-9083,Ophthalmic laboratory technicians
0.97,41-2011,Cashiers
0.97,49-9061,Camera and photographic equipment repairers
0.97,39-3021,Motion picture projectionists
0.97,51-5111,Prepress technicians and workers
0.97,41-2021,Counter and rental clerks
0.97,43-4071,File clerks
0.97,41-9021,Real estate brokers
0.97,43-2021,Telephone operators
0.97,19-4011,Agricultural and food science technicians
0.97,43-3051,Payroll and timekeeping clerks
0.97,43-4041,"Credit authorizers, checkers, and clerks"
0.97,35-9031,"Hosts and hostesses, restaurant, lounge, and coffee shop"
0.98,41-9012,Models
0.98,51-9061,"Inspectors, testers, sorters, samplers, and weighers"
0.98,43-3031,"Bookkeeping, accounting, and auditing clerks"
0.98,43-6012,Legal secretaries
0.98,27-4013,Radio operators
0.98,53-3031,Driver/sales workers
0.98,13-1031,"Claims adjusters, examiners, and investigators"
0.98,41-2022,Parts salespersons
0.98,13-2041,Credit analysts
0.98,51-4035,"Milling and planing machine setters, operators, and tenders, metal and plastic"
0.98,43-5071,"Shipping, receiving, and traffic clerks"
0.98,43-3061,Procurement clerks
0.98,51-9111,Packaging and filling machine operators and tenders
0.98,51-9194,Etchers and engravers
0.98,43-3071,Tellers
0.98,27-2023,"Umpires, referees, and other sports officials"
0.98,13-1032,"Insurance appraisers, auto damage"
0.98,13-2072,Loan officers
0.98,43-4151,Order clerks
0.98,43-4011,Brokerage clerks
0.98,43-9041,Insurance claims and policy processing clerks
0.98,51-2093,Timing device assemblers and adjusters
0.99,43-9021,Data entry keyers
0.99,25-4031,Library technicians
0.99,43-4141,New accounts clerks
0.99,51-9151,Photographic process workers and processing machine operators
0.99,13-2082,Tax preparers
0.99,43-5011,Cargo and freight agents
0.99,49-9064,Watch repairers
0.99,13-2053,Insurance underwriters
0.99,15-2091,Mathematical technicians
0.99,51-6051,"Sewers, hand"
0.99,23-2093,"Title examiners, abstractors, and searchers"
0.99,41-9041,Telemarketers
