automation_prob,soc_code,occupation_fo
0.08,33-3031,Fish and game wardens
0.082,27-1024,Graphic designers
0.083,11-9051,Food service managers
0.084,39-9011,Childcare workers
0.085,39-9031,Fitness trainers and aerobics instructors
0.091,11-9071,Gaming managers
0.097,49-9051,Electrical power-line installers and repairers
0.098,33-3051,Police and sheriff's patrol officers
0.099,41-3041,Travel agents
0.1,35-1011,Chefs and head cooks
0.1,39-2011,Animal trainers
0.1,27-3011,Radio and television announcers
0.1,17-2071,Electrical engineers
0.1,19-2031,Chemists
0.1,29-2054,Respiratory therapy technicians
0.1,19-2012,Physicists
0.11,39-5012,"Hairdressers, hairstylists, and cosmetologists"
0.11,27-3022,Reporters and correspondents
0.11,53-2021,Air traffic controllers
0.13,27-2031,Dancers
0.13,29-2033,Nuclear medicine technologists
0.13,15-1133,"Software developers, systems software"
0.13,13-1111,Management analysts
0.13,29-2051,Dietetic technicians
0.13,19-3051,Urban and regional planners
0.13,21-1093,Social and human service assistants
0.13,25-3021,Self-enrichment education teachers
0.13,27-4014,Sound engineering technicians
0.14,29-1041,Optometrists
0.14,17-2151,"Mining and geological engineers, including mining safety engineers"
0.14,29-1071,Physician assistants
0.15,25-2012,"Kindergarten teachers, except special education"
0.15,47-2111,Electricians
0.16,17-2171,Petroleum engineers
0.16,43-9031,Desktop publishers
0.16,11-1021,General and operations managers
0.17,29-9011,Occupational health and safety specialists
0.17,33-2011,Firefighters
0.17,13-2061,Financial examiners
0.17,47-1011,First-line supervisors of construction trades and extraction workers
0.17,25-2022,"Middle school teachers, except special and career/technical education"
0.18,27-3031,Public relations specialists
0.18,49-9092,Commercial divers
0.18,49-9095,Manufactured building and mobile home installers
0.18,53-2011,"Airline pilots, copilots, and flight engineers"
0.19,25-3011,Adult basic and secondary education and literacy teachers and instructors
0.2,19-1041,Epidemiologists
0.2,39-4831,"Funeral service managers, directors, morticians, and undertakers"
0.21,15-1179,"Information security analysts, web developers, and computer network architects"
0.21,15-2011,Actuaries
0.21,33-9011,Animal control workers
0.21,39-6012,Concierges
0.22,15-1799,"Computer occupations, all other"
0.22,15-2041,Statisticians
0.22,17-2061,Computer hardware engineers
0.23,19-3022,Survey researchers
0.23,13-1199,"Business operations specialists, all other"
0.23,13-2051,Financial analysts
0.23,29-2037,Radiologic technologists and technicians
0.23,29-2031,Cardiovascular technologists and technicians
0.24,13-1011,"Agents and business managers of artists, performers, and athletes"
0.24,17-3029,"Engineering technicians, except drafters, all other"
0.25,19-3092,Geographers
0.25,29-9012,Occupational health and safety technicians
0.25,21-1092,Probation officers and correctional treatment specialists
0.25,17-3025,Environmental engineering technicians
0.25,11-9199,"Managers, all other"
0.25,53-3011,"Ambulance drivers and attendants, except emergency medical technicians"
0.25,41-4011,"Sales representatives, wholesale and manufacturing, technical and scientific products"
0.26,25-2023,"Career/technical education teachers, middle school"
0.27,53-5021,"Captains, mates, and pilots of water vessels"
0.27,31-2012,Occupational therapy aides
0.27,49-9062,Medical equipment repairers
0.28,41-1011,First-line supervisors of retail sales workers
0.28,27-2021,Athletes and sports competitors
0.28,39-1011,Gaming supervisors
0.29,39-5094,Skincare specialists
0.29,13-1022,"Wholesale and retail buyers, except farm products"
0.3,19-4021,Biological technicians
0.3,31-9092,Medical assistants
0.3,19-1023,Zoologists and wildlife biologists
0.3,35-2013,"Cooks, private household"
0.31,13-1078,"Human resources, training, and labour relations specialists, all other"
0.31,33-9021,Private detectives and investigators
0.31,27-4032,Film and video editors
0.33,13-2099,"Financial specialists, all other"
0.34,33-3021,Detectives and criminal investigators
0.34,29-2055,Surgical technologists
0.34,29-1124,Radiation therapists
0.35,47-2152,"Plumbers, pipefitters, and steamfitters"
0.35,53-2031,Flight attendants
0.35,29-2032,Diagnostic medical sonographers
0.36,33-3011,Bailiffs
0.36,51-4012,"Computer numerically controlled machine tool programmers, metal and plastic"
0.36,49-2022,"Telecommunications equipment installers and repairers, except line installers"
0.37,51-9051,"Furnace, kiln, oven, drier, and kettle operators and tenders"
0.37,53-7061,Cleaners of vehicles and equipment
0.37,39-4021,Funeral attendants
0.37,47-5081,Helpers–extraction workers
0.37,27-2011,Actors
0.37,53-7111,Mine shuttle car operators
0.38,49-2095,"Electrical and electronics repairers, powerhouse, substation, and relay"
0.38,17-1022,Surveyors
0.38,17-3027,Mechanical engineering technicians
0.38,53-7064,"Packers and packagers, hand"
0.38,27-3091,Interpreters and translators
0.39,31-1011,Home health aides
0.39,51-6093,Upholsterers
0.39,47-4021,Elevator installers and repairers
0.39,43-3041,Gaming cage workers
0.39,25-9011,Audio-visual and multimedia collections specialists
0.4,23-1023,"Judges, magistrate judges, and magistrates"
0.4,49-3042,"Mobile heavy equipment mechanics, except engines"
0.4,29-2799,"Health technologists and technicians, all other"
0.41,45-2041,"Graders and sorters, agricultural products"
0.41,51-2041,Structural metal fabricators and fitters
0.41,23-1012,Judicial law clerks
0.41,49-2094,"Electrical and electronics repairers, commercial and industrial equipment"
0.42,19-4093,Forest and conservation technicians
0.42,53-1021,"First-line supervisors of helpers, labourers, and material movers, hand"
0.43,39-3093,"Locker room, coatroom, and dressing room attendants"
0.43,19-2099,"Physical scientists, all other"
0.43,19-3011,Economists
0.44,19-3093,Historians
0.45,51-9082,Medical appliance technicians
0.46,43-4031,"Court, municipal, and license clerks"
0.47,13-1141,"Compensation, benefits, and job analysis specialists"
0.47,31-1013,Psychiatric aides
0.47,29-2012,Medical and clinical laboratory technicians
0.48,33-2021,Fire inspectors and investigators
0.48,17-3021,Aerospace engineering and operations technicians
0.48,27-1026,Merchandise displayers and window trimmers
0.48,47-5031,"Explosives workers, ordnance handling experts, and blasters"
0.48,15-1131,Computer programmers
0.49,33-9091,Crossing guards
0.49,17-2021,Agricultural engineers
0.49,47-5061,"Roof bolters, mining"
0.49,49-9052,Telecommunications line installers and repairers
0.49,43-5031,"Police, fire, and ambulance dispatchers"
0.5,53-7033,"Loading machine operators, underground mining"
0.5,49-9799,"Installation, maintenance, and repair workers, all other"
0.5,23-2091,Court reporters
0.51,41-9011,Demonstrators and product promoters
0.51,31-9091,Dental assistants
0.52,51-6041,Shoe and leather workers and repairers
0.52,17-3011,Architectural and civil drafters
0.53,47-5012,"Rotary drill operators, oil and gas"
0.53,47-4041,Hazardous materials removal workers
0.54,39-4011,Embalmers
0.54,47-5041,Continuous mining machine operators
0.54,39-1012,Slot supervisors
0.54,31-9011,Massage therapists
0.54,41-3011,Advertising sales agents
0.55,49-3022,Automotive glass installers and repairers
0.55,53-2012,Commercial pilots
0.55,43-4051,Customer service representatives
0.55,27-4011,Audio and video equipment technicians
0.56,25-9041,Teacher assistants
0.57,45-1011,"First-line supervisors of farming, fishing, and forestry workers"
0.57,19-4031,Chemical technicians
0.57,47-3015,"Helpers–pipelayers, plumbers, pipefitters, and steamfitters"
0.57,13-1051,Cost estimators
0.57,33-3052,Transit and railroad police
0.57,37-1012,"First-line supervisors of landscaping, lawn service, and groundskeeping workers"
0.58,13-2052,Personal financial advisors
0.59,49-9044,Millwrights
0.59,25-4013,Museum technicians and conservators
0.59,47-5042,Mine cutting and channeling machine operators
0.59,11-3071,"Transportation, storage, and distribution managers"
0.59,49-3092,Recreational vehicle service technicians
0.59,49-3023,Automotive service technicians and mechanics
0.6,33-3012,Correctional officers and jailers
0.6,27-4031,"Camera operators, television, video, and motion picture"
0.6,51-3023,Slaughterers and meat packers
0.61,49-2096,"Electronic equipment installers and repairers, motor vehicles"
0.61,31-2022,Physical therapist aides
0.61,39-3092,Costume attendants
0.61,13-1161,Market research analysts and marketing specialists
0.61,43-4181,Reservation and transportation ticket agents and travel clerks
0.61,51-8031,Water and wastewater treatment plant and system operators
0.61,19-4099,"Life, physical, and social science technicians, all other"
